season,round,circuit_id,country,date,url
2015,1,albert_park,Australia,2015-03-15,http://en.wikipedia.org/wiki/2015_Australian_Grand_Prix
2015,2,sepang,Malaysia,2015-03-29,http://en.wikipedia.org/wiki/2015_Malaysian_Grand_Prix
2015,3,shanghai,China,2015-04-12,http://en.wikipedia.org/wiki/2015_Chinese_Grand_Prix
2015,4,bahrain,Bahrain,2015-04-19,http://en.wikipedia.org/wiki/2015_Bahrain_Grand_Prix
2015,5,catalunya,Spain,2015-05-10,http://en.wikipedia.org/wiki/2015_Spanish_Grand_Prix
2015,6,monaco,Monaco,2015-05-24,http://en.wikipedia.org/wiki/2015_Monaco_Grand_Prix
2015,7,villeneuve,Canada,2015-06-07,http://en.wikipedia.org/wiki/2015_Canadian_Grand_Prix
2015,8,red_bull_ring,Austria,2015-06-21,http://en.wikipedia.org/wiki/2015_Austrian_Grand_Prix
2015,9,silverstone,UK,2015-07-05,http://en.wikipedia.org/wiki/2015_British_Grand_Prix
2015,10,hungaroring,Hungary,2015-07-26,http://en.wikipedia.org/wiki/2015_Hungarian_Grand_Prix
2015,11,spa,Belgium,2015-08-23,http://en.wikipedia.org/wiki/2015_Belgian_Grand_Prix
2015,12,monza,Italy,2015-09-06,http://en.wikipedia.org/wiki/2015_Italian_Grand_Prix
2015,13,marina_bay,Singapore,2015-09-20,http://en.wikipedia.org/wiki/2015_Singapore_Grand_Prix
2015,14,suzuka,Japan,2015-09-27,http://en.wikipedia.org/wiki/2015_Japanese_Grand_Prix
2015,15,sochi,Russia,2015-10-11,http://en.wikipedia.org/wiki/2015_Russian_Grand_Prix
2015,16,americas,USA,2015-10-25,http://en.wikipedia.org/wiki/2015_United_States_Grand_Prix
2015,17,rodriguez,Mexico,2015-11-01,http://en.wikipedia.org/wiki/2015_Mexican_Grand_Prix
2015,18,interlagos,Brazil,2015-11-15,http://en.wikipedia.org/wiki/2015_Brazilian_Grand_Prix
2015,19,yas_marina,UAE,2015-11-29,http://en.wikipedia.org/wiki/2015_Abu_Dhabi_Grand_Prix
2016,1,albert_park,Australia,2016-03-20,http://en.wikipedia.org/wiki/2016_Australian_Grand_Prix
2016,2,bahrain,Bahrain,2016-04-03,http://en.wikipedia.org/wiki/2016_Bahrain_Grand_Prix
2016,3,shanghai,China,2016-04-17,http://en.wikipedia.org/wiki/2016_Chinese_Grand_Prix
2016,4,sochi,Russia,2016-05-01,http://en.wikipedia.org/wiki/2016_Russian_Grand_Prix
2016,5,catalunya,Spain,2016-05-15,http://en.wikipedia.org/wiki/2016_Spanish_Grand_Prix
2016,6,monaco,Monaco,2016-05-29,http://en.wikipedia.org/wiki/2016_Monaco_Grand_Prix
2016,7,villeneuve,Canada,2016-06-12,http://en.wikipedia.org/wiki/2016_Canadian_Grand_Prix
2016,8,BAK,Azerbaijan,2016-06-19,http://en.wikipedia.org/wiki/2016_European_Grand_Prix
2016,9,red_bull_ring,Austria,2016-07-03,http://en.wikipedia.org/wiki/2016_Austrian_Grand_Prix
2016,10,silverstone,UK,2016-07-10,http://en.wikipedia.org/wiki/2016_British_Grand_Prix
2016,11,hungaroring,Hungary,2016-07-24,http://en.wikipedia.org/wiki/2016_Hungarian_Grand_Prix
2016,12,hockenheimring,Germany,2016-07-31,http://en.wikipedia.org/wiki/2016_German_Grand_Prix
2016,13,spa,Belgium,2016-08-28,http://en.wikipedia.org/wiki/2016_Belgian_Grand_Prix
2016,14,monza,Italy,2016-09-04,http://en.wikipedia.org/wiki/2016_Italian_Grand_Prix
2016,15,marina_bay,Singapore,2016-09-18,http://en.wikipedia.org/wiki/2016_Singapore_Grand_Prix
